sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
TOO,0.98,1.14,1.12,459.99296,410.708
OGEN,0.98,0.3988,0.39,18.0759,46.125
IKNX,0.98,6.41,6.30,12.49722,1.984
AKCA,0.98,22.26,21.88,2035.19095,93.032
VNOM,0.98,30.26,29.74,1862.55672,62.631
CYRN,0.98,1.57,1.54,84.103,54.501
STCN,0.98,1.76,1.73,106.91746,61.802
TNDM,0.98,63.86,62.77,3681.857,58.652
MRNS,0.98,1.18,1.16,60.9638,52.555
DOGZ,0.98,2.95,2.90,75.1506,25.914
PRPL,0.98,6.5,6.39,343.79478,53.802
BILI,0.98,13.91,13.68,4422.85272,323.423
CFFN,0.98,13.24,13.02,1840.88776,141.422
ENG,0.98,1.19,1.17,32.0697,27.41
CFMS,0.98,1.77,1.74,119.51886,68.679
VRRM,0.98,13.96,13.73,2176.99515,158.61
CCUR,0.98,3.7,3.64,32.523,8.94
CYBE,0.98,14.32,14.08,100.06656,7.107
NLST,0.98,0.3248,0.32,45.02656,140.982
HHT,0.98,3,2.95,16.47575,5.585
EQH,0.98,21,20.65,10267.14456,497.138
MTZ,0.98,61.28,60.27,4599.04178,76.311
Y,0.98,750.42,738.06,10650.22231,14.43
UMRX,0.98,1.83,1.80,54.2142,30.119
SIM,0.98,9.15,9.00,1493.127,165.903
PIXY,0.98,0.4554,0.45,16.2171,36.202
TMDX,0.98,20.48,20.15,424.95321,21.094
SGRP,0.98,0.7827,0.77,15.99829,20.777
CDAY,0.98,52.35,51.50,7322.78778,142.177
MGYR,0.98,11.5676,11.38,66.25026,5.821
ALEC,0.98,18.06,17.77,1223.85544,68.872
XNCR,0.98,37.46,36.86,2087.05068,56.62
CPSI,0.98,23.15,22.78,327.0069,14.355
LMNX,0.98,21.08,20.74,934.4616,45.047
YGYI,0.98,5.04,4.96,143.29936,28.891
DIS,0.98,138.52,136.33,245582.09,1801.379
CAG,0.98,28.65,28.20,13707.597,486.13
BYND,0.98,164.311,161.72,9789.3336,60.533
CBKM,0.98,17.78,17.50,47.845,2.734
MMAC,0.98,30.02,29.55,173.86002,5.884
MSEX,0.98,59.6,58.66,971.92508,16.568
STLY,0.98,0.59,0.58,8.68008,14.947
SCPH,0.98,5.76,5.67,105.3486,18.581
MDWD,0.98,3.19,3.14,85.34206,27.179
UDR,0.98,47.11,46.37,13229.49665,285.282
CHE,0.98,431.63,424.91,6765.48452,15.922
FUN,0.98,52.77,51.95,2940.26052,56.597
GASS,0.98,3.44,3.39,135.6225,40.046
NCSM,0.98,2.3,2.26,105.9409,46.785
POETF,0.98,0.3146,0.31,89.30542,288.314
DCPH,0.98,23.48,23.12,883.5308,38.215
ICUI,0.98,166.89,164.33,3387.57756,20.614
